mechanism,method,missing_rate,mean,mean_bias,variance,variance_bias,variance_ratio,cov_income_spending,cov_bias,corr_income_spending,corr_bias,rmse_on_missing_cells
MCAR,Unconditional mean,0.356,70967.67802065752,-173.50599570218765,354895263.018135,-193973739.57063383,0.6465937433964266,217651069.37208787,-118603659.48761413,0.7080244565562701,-0.17154796464858924,23341.92887678618
MCAR,Conditional mean anchors,0.356,70980.86450854712,-160.31950781258638,501858343.73585635,-47010658.852912486,0.9143499475627439,302976381.99541485,-33278346.864287138,0.8288114763227002,-0.0507609448821591,12333.947872538327
MAR,Unconditional mean,0.3492,75470.67210054917,4329.488084189463,319209758.18719596,-229659244.40157288,0.5815773102172408,192972101.3380894,-143282627.52161258,0.6619024701126253,-0.21766995109223408,26668.695134610396
MAR,Conditional mean anchors,0.3492,71835.2445347115,694.060518351791,488402632.7916389,-60466369.79712993,0.8898346062322026,298351961.6065693,-37902767.2531327,0.8273274893750183,-0.052244931829841024,12615.30756787148
MAR,Linear regression,0.3492,71336.44893083477,195.26491447506123,497022659.5856771,-51846343.00309175,0.905539677484872,310833158.4795347,-25421570.380167305,0.8544306173914931,-0.02514180381336628,9550.03702506309
MAR,Stochastic regression,0.3492,71243.01746589957,101.83344953985943,530440542.8633043,-18428459.725464523,0.9664246666535262,310580562.85764617,-25674166.002055824,0.8264060208411425,-0.05316640036371689,13604.132524716904
MCAR,Simple hot deck,0.356,70713.4154186067,-427.76859775300545,551753534.2372073,2884531.6484384537,1.005255410006456,218296382.1405937,-117958346.71910828,0.5695233462443958,-0.3100490749604635,33094.29168794668
MCAR,Adjustment-cell hot deck,0.356,70809.91869875973,-331.26531759997306,544374013.5920393,-4494988.996729493,0.9918104520832318,303540044.99259716,-32714683.86710483,0.7972689613552145,-0.08230345984964482,16432.062118654332
MCAR,KNN hot deck,0.356,71047.71899856123,-93.46501779847313,548360856.6572925,-508145.9314763546,0.9990741945180368,307385707.283532,-28869021.576169968,0.8044295251067554,-0.07514289609810398,16088.605712897863
MAR,Simple hot deck,0.3492,75706.97388313047,4565.789866770763,492453464.5888297,-56415537.99993914,0.8972149315522422,188744862.7108247,-147509866.1488773,0.521230831028716,-0.3583415901761433,35225.267523086004
MAR,Adjustment-cell hot deck,0.3492,71906.80547817114,765.6214618114318,532620323.79938036,-16248678.789388478,0.9703960713526347,298400005.11126935,-37854723.748432636,0.7923690697550769,-0.08720335144978242,17059.141297673974
MAR,KNN hot deck,0.3492,71478.4404154062,337.2563990464987,527503904.3429577,-21365098.245811164,0.9610743216595552,297303521.72475654,-38951207.13494545,0.79327683039372,-0.08629559081113936,17589.204343163197
