Scenario,Method,Missing %,Beta,Bias,Abs bias,SE,N used
Y missing: MCAR,Complete case,30.416666666666664,1.0775147313915074,-0.01721694109660543,0.01721694109660543,0.03856626260901998,835
Y missing: MCAR,Mean imputation,30.416666666666664,0.7555208940255136,-0.3392107784625993,0.3392107784625993,0.030466602011150756,1200
Y missing: MCAR,Regression/iterative imputation,30.416666666666664,1.074572637825098,-0.02015903466301494,0.02015903466301494,0.028066366279128507,1200
Y missing: MCAR,Multiple imputation,30.416666666666664,1.071468470617663,-0.023263201870449945,0.023263201870449945,0.03976000104426774,1200
Y missing: MAR via measured Z,Complete case,31.0,1.065502723742701,-0.02922894874541182,0.02922894874541182,0.03958497489330589,828
Y missing: MAR via measured Z,Mean imputation,31.0,0.6838285644857451,-0.41090310800236773,0.41090310800236773,0.030186940456846407,1200
Y missing: MAR via measured Z,Regression/iterative imputation,31.0,1.097254208060821,0.0025225355727080956,0.0025225355727080956,0.027609505342803493,1200
Y missing: MAR via measured Z,Multiple imputation,31.0,1.1016611346145742,0.006929462126461283,0.006929462126461283,0.03831246574847533,1200
Y missing: MNAR via Y itself,Complete case,31.5,0.9142966038015493,-0.18043506868656356,0.18043506868656356,0.03779028743982553,822
Y missing: MNAR via Y itself,Mean imputation,31.5,0.5351480986444931,-0.5595835738436198,0.5595835738436198,0.02723065804616089,1200
Y missing: MNAR via Y itself,Regression/iterative imputation,31.5,0.9380597320813759,-0.15667194040673693,0.15667194040673693,0.024836910338079762,1200
Y missing: MNAR via Y itself,Multiple imputation,31.5,0.9489364635883352,-0.1457952088997777,0.1457952088997777,0.03381874866759976,1200
X missing: MCAR,Complete case,31.083333333333336,1.0791743304025176,-0.015557342085595227,0.015557342085595227,0.03882787589479939,827
X missing: MCAR,Mean imputation,31.083333333333336,1.0791743304025179,-0.015557342085595005,0.015557342085595005,0.04521610063589018,1200
X missing: MCAR,Regression/iterative imputation,31.083333333333336,1.3005774843514017,0.20584581186328887,0.20584581186328887,0.03182418223112353,1200
X missing: MCAR,Multiple imputation,31.083333333333336,1.1041660539009217,0.009434381412808834,0.009434381412808834,0.03624744864064965,1200
X missing: MAR via observed Y,Complete case,30.166666666666668,0.9475417513831036,-0.14718992110500928,0.14718992110500928,0.03738230166630386,838
X missing: MAR via observed Y,Mean imputation,30.166666666666668,0.9475417513831041,-0.14718992110500873,0.14718992110500873,0.050993086750752155,1200
X missing: MAR via observed Y,Regression/iterative imputation,30.166666666666668,1.3043968661818006,0.20966519369368775,0.20966519369368775,0.03132377774833265,1200
X missing: MAR via observed Y,Multiple imputation,30.166666666666668,1.11211218522435,0.017380512736237197,0.017380512736237197,0.03236283198608871,1200
X missing: MNAR via X itself,Complete case,28.916666666666668,1.101389833757363,0.006658161269250229,0.006658161269250229,0.042328417408222,853
X missing: MNAR via X itself,Mean imputation,28.916666666666668,1.1013898337573624,0.006658161269249563,0.006658161269249563,0.04951036327885408,1200
X missing: MNAR via X itself,Regression/iterative imputation,28.916666666666668,1.3518211897761874,0.2570895172880745,0.2570895172880745,0.035894877993925996,1200
X missing: MNAR via X itself,Multiple imputation,28.916666666666668,1.1504236519185187,0.055691979430405825,0.055691979430405825,0.038089775765657675,1200
